Date,avg prcp
Jan-95,0.160967742
Feb-95,0.005714286
Mar-95,0.208709677
Apr-95,0.027
May-95,0.038387097
Jun-95,0.011666667
Jul-95,0
Aug-95,0
Sep-95,0
Oct-95,0
Nov-95,0
Dec-95,0.087741935
Jan-96,0.061612903
Feb-96,0.104482759
Mar-96,0.067096774
Apr-96,0.042666667
May-96,0.016451613
Jun-96,0
Jul-96,0
Aug-96,0
Sep-96,0
Oct-96,0.044193548
Nov-96,0.072
Dec-96,0.12516129
Jan-97,0.148064516
Feb-97,0.005357143
Mar-97,0.01
Apr-97,0
May-97,0
Jun-97,0
Jul-97,0
Aug-97,0
Sep-97,0
Oct-97,0.00483871
Nov-97,0.094333333
Dec-97,0.053548387
Jan-98,0.113870968
Feb-98,0.165
Mar-98,0.131935484
Apr-98,0.067666667
May-98,0.051612903
Jun-98,0.041666667
Jul-98,0
Aug-98,0
Sep-98,0.033
Oct-98,0.008387097
Nov-98,0.031666667
Dec-98,0.02
Jan-99,0
Feb-99,0.035714286
Mar-99,0.025483871
Apr-99,0.058
May-99,0
Jun-99,0
Jul-99,0
Aug-99,0
Sep-99,0.011666667
Oct-99,0
Nov-99,0.024333333
Dec-99,0
Jan-00,0.07
Feb-00,0.153103448
Mar-00,0.046774194
Apr-00,0.034333333
May-00,0.016129032
Jun-00,0.031666667
Jul-00,0
Aug-00,0.003225806
Sep-00,0
Oct-00,0.066774194
Nov-00,0
Dec-00,0.003225806
Jan-01,0.070322581
Feb-01,0.136428571
Mar-01,0.014193548
Apr-01,0.048
May-01,0
Jun-01,0
Jul-01,0
Aug-01,0
Sep-01,0
Oct-01,0.015483871
Nov-01,0.068
Dec-01,0.157741935
Jan-02,0.034193548
Feb-02,0.0075
Mar-02,0.042258065
Apr-02,0.007666667
May-02,0.007096774
Jun-02,0
Jul-02,0
Aug-02,0
Sep-02,0
Oct-02,0
Nov-02,0.058666667
Dec-02,0.052580645
Jan-03,0.014516129
Feb-03,0.048571429
Mar-03,0.022580645
Apr-03,0.063333333
May-03,0.029354839
Jun-03,0
