250365
start_date end_date duration peak sum average median
06/01/1936 08/01/1936 2 -3.12 -4.21 -2.11 -2.11
09/01/1936 12/01/1936 3 -1.78 -4.74 -1.58 -1.65
05/01/1937 08/01/1937 3 -1.18 -1.62 -0.54 -0.39
11/01/1937 12/01/1937 1 -1.31 -1.31 -1.31 -1.31
01/01/1938 02/01/1938 1 -1.24 -1.24 -1.24 -1.24
06/01/1938 07/01/1938 1 -1.29 -1.29 -1.29 -1.29
10/01/1938 12/01/1938 2 -1.74 -1.98 -0.99 -0.99
07/01/1939 10/01/1939 3 -1.93 -4.67 -1.56 -1.51
11/01/1939 12/01/1939 1 -1.31 -1.31 -1.31 -1.31
02/01/1940 03/01/1940 1 -1.16 -1.16 -1.16 -1.16
05/01/1940 10/01/1940 5 -1.68 -4.33 -0.87 -0.69
07/01/1942 09/01/1942 2 -1.65 -2.12 -1.06 -1.06
01/01/1943 04/01/1943 3 -1.16 -1.84 -0.61 -0.63
08/01/1943 01/01/1944 5 -1.78 -3.86 -0.77 -0.46
10/01/1944 11/01/1944 1 -1.23 -1.23 -1.23 -1.23
05/01/1945 06/01/1945 1 -1.16 -1.16 -1.16 -1.16
12/01/1946 01/01/1947 1 -1.01 -1.01 -1.01 -1.01
02/01/1947 04/01/1947 2 -2.34 -3.34 -1.67 -1.67
07/01/1947 09/01/1947 2 -1.37 -2.7 -1.35 -1.35
04/01/1948 06/01/1948 2 -1.09 -2.15 -1.07 -1.07
02/01/1949 03/01/1949 1 -1.24 -1.24 -1.24 -1.24
04/01/1949 05/01/1949 1 -1.48 -1.48 -1.48 -1.48
11/01/1949 01/01/1950 2 -1.31 -1.68 -0.84 -0.84
04/01/1950 07/01/1950 3 -1.79 -4.43 -1.48 -1.73
10/01/1950 05/01/1951 7 -1.31 -6.75 -0.96 -1.06
04/01/1952 05/01/1952 1 -1.03 -1.03 -1.03 -1.03
06/01/1952 11/01/1952 5 -1.44 -5.67 -1.13 -1.2
05/01/1953 07/01/1953 2 -1.08 -1.1 -0.55 -0.55
09/01/1953 10/01/1953 1 -2.21 -2.21 -2.21 -2.21
01/01/1954 05/01/1954 4 -1.31 -3.47 -0.87 -0.99
07/01/1954 08/01/1954 1 -1.57 -1.57 -1.57 -1.57
03/01/1955 05/01/1955 2 -1.95 -3.7 -1.85 -1.85
03/01/1956 06/01/1956 3 -1.78 -2.95 -0.98 -0.79
09/01/1956 11/01/1956 2 -2.09 -2.45 -1.22 -1.22
04/01/1959 05/01/1959 1 -1.86 -1.86 -1.86 -1.86
11/01/1959 01/01/1960 2 -1.5 -2.7 -1.35 -1.35
01/01/1961 02/01/1961 1 -1.24 -1.24 -1.24 -1.24
06/01/1961 07/01/1961 1 -1.71 -1.71 -1.71 -1.71
08/01/1962 09/01/1962 1 -2.24 -2.24 -2.24 -2.24
05/01/1963 06/01/1963 1 -1.98 -1.98 -1.98 -1.98
01/01/1964 02/01/1964 1 -1.24 -1.24 -1.24 -1.24
08/01/1964 09/01/1964 1 -1.48 -1.48 -1.48 -1.48
10/01/1964 01/01/1965 3 -1.72 -2.56 -0.85 -0.51
03/01/1965 05/01/1965 2 -1.12 -1.51 -0.76 -0.76
04/01/1966 06/01/1966 2 -1.82 -2.83 -1.42 -1.42
10/01/1966 05/01/1967 7 -1.52 -5.75 -0.82 -0.78
01/01/1968 02/01/1968 1 -1.24 -1.24 -1.24 -1.24
06/01/1968 08/01/1968 2 -1 -1.15 -0.58 -0.58
09/01/1968 11/01/1968 2 -1.36 -1.93 -0.97 -0.97
03/01/1969 05/01/1969 2 -1.12 -1.55 -0.78 -0.78
02/01/1970 04/01/1970 2 -1.31 -1.51 -0.75 -0.75
05/01/1970 06/01/1970 1 -1.58 -1.58 -1.58 -1.58
08/01/1970 11/01/1970 3 -2 -3 -1 -0.5
02/01/1972 04/01/1972 2 -1.24 -2.22 -1.11 -1.11
08/01/1972 09/01/1972 1 -2 -2 -2 -2
05/01/1974 06/01/1974 1 -1.26 -1.26 -1.26 -1.26
07/01/1974 08/01/1974 1 -1.47 -1.47 -1.47 -1.47
11/01/1974 03/01/1975 4 -1.31 -2.63 -0.66 -0.56
07/01/1975 08/01/1975 1 -1.04 -1.04 -1.04 -1.04
09/01/1975 11/01/1975 2 -1.21 -2.34 -1.17 -1.17
06/01/1976 10/01/1976 4 -1.78 -3.16 -0.79 -0.52
09/01/1977 11/01/1977 2 -1.51 -2.35 -1.17 -1.17
03/01/1978 04/01/1978 1 -2.06 -2.06 -2.06 -2.06
06/01/1978 07/01/1978 1 -1.28 -1.28 -1.28 -1.28
09/01/1978 11/01/1978 2 -1.89 -2.82 -1.41 -1.41
02/01/1979 03/01/1979 1 -1.31 -1.31 -1.31 -1.31
12/01/1979 02/01/1980 2 -1.1 -1.22 -0.61 -0.61
07/01/1980 08/01/1980 1 -1.69 -1.69 -1.69 -1.69
10/01/1980 01/01/1981 3 -1.23 -3.08 -1.03 -1.19
06/01/1984 10/01/1984 4 -1.13 -2.84 -0.71 -0.71
03/01/1985 05/01/1985 2 -1.05 -1.21 -0.6 -0.6
06/01/1985 08/01/1985 2 -1.82 -1.92 -0.96 -0.96
01/01/1986 02/01/1986 1 -1.24 -1.24 -1.24 -1.24
01/01/1987 02/01/1987 1 -1.24 -1.24 -1.24 -1.24
06/01/1988 07/01/1988 1 -1.25 -1.25 -1.25 -1.25
10/01/1988 02/01/1989 4 -1.61 -3.93 -0.98 -0.97
04/01/1989 08/01/1989 4 -2.14 -7.36 -1.84 -1.77
10/01/1989 01/01/1990 3 -1.74 -3.11 -1.04 -1.31
04/01/1991 05/01/1991 1 -1.17 -1.17 -1.17 -1.17
04/01/1992 06/01/1992 2 -2.21 -3.78 -1.89 -1.89
05/01/1994 07/01/1994 2 -1.39 -1.6 -0.8 -0.8
08/01/1994 10/01/1994 2 -2.24 -2.59 -1.3 -1.3
12/01/1995 05/01/1996 5 -1.61 -5.65 -1.13 -1.01
07/01/1996 08/01/1996 1 -1.32 -1.32 -1.32 -1.32
01/01/1997 02/01/1997 1 -1.24 -1.24 -1.24 -1.24
03/01/1997 08/01/1997 5 -1.71 -4.52 -0.9 -0.79
11/01/1997 12/01/1997 1 -1.26 -1.26 -1.26 -1.26
12/01/1998 04/01/1999 4 -1.28 -2.43 -0.61 -0.56
10/01/1999 01/01/2000 3 -1.74 -3.61 -1.2 -1.61
04/01/2000 05/01/2000 1 -1.33 -1.33 -1.33 -1.33
06/01/2000 09/01/2000 3 -1.93 -4.11 -1.37 -1.17
12/01/2000 01/01/2001 1 -1.19 -1.19 -1.19 -1.19
03/01/2001 04/01/2001 1 -1.05 -1.05 -1.05 -1.05
06/01/2001 07/01/2001 1 -1.44 -1.44 -1.44 -1.44
12/01/2001 04/01/2002 4 -1.61 -3.88 -0.97 -0.91
05/01/2002 08/01/2002 3 -1.95 -4.28 -1.43 -1.88
11/01/2002 01/01/2003 2 -1.03 -1.59 -0.8 -0.8
08/01/2003 02/01/2004 6 -1.61 -4.11 -0.68 -0.57
12/01/2004 01/01/2005 1 -1.39 -1.39 -1.39 -1.39
05/01/2005 06/01/2005 1 -1.02 -1.02 -1.02 -1.02
