250365
start_date end_date duration peak sum average median
07/01/1936 12/01/1936 5 -2.87 -9.56 -1.91 -2.18
05/01/1937 09/01/1937 4 -1.05 -2.65 -0.66 -0.69
11/01/1938 01/01/1939 2 -1.79 -2.15 -1.07 -1.07
08/01/1939 11/01/1939 3 -2.59 -5.23 -1.74 -2.08
06/01/1940 11/01/1940 5 -1.73 -5.31 -1.06 -1.17
08/01/1942 10/01/1942 2 -1.82 -2.07 -1.04 -1.04
01/01/1943 04/01/1943 3 -1.45 -3.14 -1.05 -1.32
09/01/1943 01/01/1944 4 -2.23 -4.52 -1.13 -0.98
07/01/1946 09/01/1946 2 -1.28 -1.76 -0.88 -0.88
03/01/1947 06/01/1947 3 -2.48 -3.94 -1.31 -0.74
08/01/1947 10/01/1947 2 -2.21 -2.67 -1.33 -1.33
04/01/1948 01/01/1949 9 -1.55 -4.75 -0.53 -0.29
12/01/1949 07/01/1950 7 -2.01 -8.19 -1.17 -1.48
11/01/1950 06/01/1951 7 -2.21 -9.39 -1.34 -1.28
04/01/1952 04/01/1953 12 -2.11 -10.27 -0.86 -0.75
09/01/1953 11/01/1953 2 -1.41 -2.18 -1.09 -1.09
01/01/1954 06/01/1954 5 -2.21 -5.54 -1.11 -0.86
04/01/1955 05/01/1955 1 -2.7 -2.7 -2.7 -2.7
03/01/1956 07/01/1956 4 -1.52 -4.06 -1.01 -1.02
10/01/1956 12/01/1956 2 -1.64 -1.69 -0.85 -0.85
10/01/1958 01/01/1959 3 -1.13 -2.59 -0.86 -1.08
04/01/1959 06/01/1959 2 -1.58 -1.98 -0.99 -0.99
12/01/1959 02/01/1960 2 -2.72 -3.38 -1.69 -1.69
07/01/1960 11/01/1960 4 -1.12 -1.71 -0.43 -0.26
01/01/1962 05/01/1962 4 -1.43 -3.9 -0.97 -1.04
05/01/1963 07/01/1963 2 -2.12 -2.71 -1.36 -1.36
08/01/1964 01/01/1965 5 -1.93 -4.19 -0.84 -0.81
05/01/1966 07/01/1966 2 -2.08 -2.25 -1.12 -1.12
11/01/1966 05/01/1967 6 -1.89 -7.26 -1.21 -1.16
09/01/1967 12/01/1967 3 -1.4 -3.6 -1.2 -1.29
10/01/1968 11/01/1968 1 -1.49 -1.49 -1.49 -1.49
04/01/1969 05/01/1969 1 -1.01 -1.01 -1.01 -1.01
12/01/1969 01/01/1970 1 -1.18 -1.18 -1.18 -1.18
09/01/1970 03/01/1971 6 -1.79 -4.18 -0.7 -0.52
03/01/1972 06/01/1972 3 -1.49 -1.77 -0.59 -0.26
08/01/1974 03/01/1975 7 -1.77 -7.61 -1.09 -1.15
10/01/1975 11/01/1975 1 -1.8 -1.8 -1.8 -1.8
06/01/1976 03/01/1977 9 -1.47 -6.38 -0.71 -0.75
10/01/1977 01/01/1978 3 -1.8 -2.53 -0.84 -0.63
06/01/1978 08/01/1978 2 -1.01 -1.53 -0.76 -0.76
10/01/1978 12/01/1978 2 -2.1 -2.48 -1.24 -1.24
10/01/1980 02/01/1981 4 -1.55 -4.68 -1.17 -1.47
02/01/1983 03/01/1983 1 -1.1 -1.1 -1.1 -1.1
10/01/1983 11/01/1983 1 -1.01 -1.01 -1.01 -1.01
06/01/1984 11/01/1984 5 -1.15 -4.4 -0.88 -0.98
03/01/1985 05/01/1985 2 -1.36 -2.08 -1.04 -1.04
07/01/1985 08/01/1985 1 -1.13 -1.13 -1.13 -1.13
01/01/1987 02/01/1987 1 -1.43 -1.43 -1.43 -1.43
03/01/1988 04/01/1988 1 -1.2 -1.2 -1.2 -1.2
11/01/1988 02/01/1989 3 -2.08 -4.58 -1.53 -1.3
04/01/1989 09/01/1989 5 -2.77 -11.03 -2.21 -2.38
11/01/1989 01/01/1990 2 -2.21 -3.35 -1.68 -1.68
01/01/1991 03/01/1991 2 -1.08 -1.32 -0.66 -0.66
05/01/1992 07/01/1992 2 -2.7 -3.08 -1.54 -1.54
05/01/1994 07/01/1994 2 -1.42 -2.64 -1.32 -1.32
09/01/1994 10/01/1994 1 -1.75 -1.75 -1.75 -1.75
12/01/1995 05/01/1996 5 -2.08 -8.7 -1.74 -1.83
07/01/1996 09/01/1996 2 -1.59 -1.66 -0.83 -0.83
01/01/1997 09/01/1997 8 -1.71 -8.46 -1.06 -0.94
01/01/1999 04/01/1999 3 -1.79 -2.75 -0.92 -0.67
11/01/1999 02/01/2000 3 -1.81 -3.55 -1.18 -1.14
07/01/2000 10/01/2000 3 -2.18 -4.57 -1.52 -1.55
06/01/2001 07/01/2001 1 -1.25 -1.25 -1.25 -1.25
01/01/2002 08/01/2002 7 -2.94 -9.82 -1.4 -1.34
12/01/2002 02/01/2003 2 -1.44 -1.78 -0.89 -0.89
09/01/2003 02/01/2004 5 -1.75 -4.98 -1 -0.87
05/01/2006 09/01/2006 4 -1.22 -2.84 -0.71 -0.7
02/01/2008 04/01/2008 2 -2.18 -3.71 -1.85 -1.85
